Selected GPU: 4
Using device: cuda:4
ACC ON: 3317977
ACC OFF: 5747608
Epoch 161/200 | Loss: 0.3339 | Acc: 0.7513 | Prec: 0.6088 | Recall: 0.8960 | F1: 0.7250
Epoch 162/200 | Loss: 0.3339 | Acc: 0.7497 | Prec: 0.6069 | Recall: 0.8967 | F1: 0.7238
Epoch 163/200 | Loss: 0.3338 | Acc: 0.7526 | Prec: 0.6105 | Recall: 0.8945 | F1: 0.7257
Epoch 164/200 | Loss: 0.3339 | Acc: 0.7522 | Prec: 0.6100 | Recall: 0.8946 | F1: 0.7254
Epoch 165/200 | Loss: 0.3339 | Acc: 0.7522 | Prec: 0.6099 | Recall: 0.8952 | F1: 0.7255
Epoch 166/200 | Loss: 0.3338 | Acc: 0.7517 | Prec: 0.6093 | Recall: 0.8955 | F1: 0.7252
Epoch 167/200 | Loss: 0.3338 | Acc: 0.7511 | Prec: 0.6086 | Recall: 0.8959 | F1: 0.7248
Epoch 168/200 | Loss: 0.3339 | Acc: 0.7526 | Prec: 0.6105 | Recall: 0.8947 | F1: 0.7258
Epoch 169/200 | Loss: 0.3338 | Acc: 0.7514 | Prec: 0.6090 | Recall: 0.8959 | F1: 0.7251
Epoch 170/200 | Loss: 0.3339 | Acc: 0.7519 | Prec: 0.6096 | Recall: 0.8955 | F1: 0.7254
Epoch 171/200 | Loss: 0.3338 | Acc: 0.7523 | Prec: 0.6101 | Recall: 0.8946 | F1: 0.7255
Epoch 172/200 | Loss: 0.3338 | Acc: 0.7516 | Prec: 0.6092 | Recall: 0.8954 | F1: 0.7251
Epoch 173/200 | Loss: 0.3338 | Acc: 0.7527 | Prec: 0.6105 | Recall: 0.8946 | F1: 0.7258
Epoch 174/200 | Loss: 0.3338 | Acc: 0.7520 | Prec: 0.6096 | Recall: 0.8955 | F1: 0.7254
Epoch 175/200 | Loss: 0.3338 | Acc: 0.7520 | Prec: 0.6097 | Recall: 0.8953 | F1: 0.7254
Epoch 176/200 | Loss: 0.3338 | Acc: 0.7507 | Prec: 0.6081 | Recall: 0.8964 | F1: 0.7246
Epoch 177/200 | Loss: 0.3339 | Acc: 0.7512 | Prec: 0.6087 | Recall: 0.8960 | F1: 0.7249
Epoch 178/200 | Loss: 0.3338 | Acc: 0.7500 | Prec: 0.6072 | Recall: 0.8967 | F1: 0.7241
Epoch 179/200 | Loss: 0.3338 | Acc: 0.7512 | Prec: 0.6087 | Recall: 0.8959 | F1: 0.7249
Epoch 180/200 | Loss: 0.3338 | Acc: 0.7523 | Prec: 0.6100 | Recall: 0.8951 | F1: 0.7256
Epoch 181/200 | Loss: 0.3338 | Acc: 0.7511 | Prec: 0.6086 | Recall: 0.8961 | F1: 0.7249
Epoch 182/200 | Loss: 0.3338 | Acc: 0.7502 | Prec: 0.6074 | Recall: 0.8968 | F1: 0.7243
Epoch 183/200 | Loss: 0.3338 | Acc: 0.7498 | Prec: 0.6071 | Recall: 0.8960 | F1: 0.7238
Epoch 184/200 | Loss: 0.3338 | Acc: 0.7510 | Prec: 0.6085 | Recall: 0.8961 | F1: 0.7248
Epoch 185/200 | Loss: 0.3338 | Acc: 0.7525 | Prec: 0.6103 | Recall: 0.8949 | F1: 0.7257
Epoch 186/200 | Loss: 0.3338 | Acc: 0.7507 | Prec: 0.6081 | Recall: 0.8964 | F1: 0.7246
Epoch 187/200 | Loss: 0.3338 | Acc: 0.7500 | Prec: 0.6072 | Recall: 0.8969 | F1: 0.7242
Epoch 188/200 | Loss: 0.3338 | Acc: 0.7505 | Prec: 0.6078 | Recall: 0.8967 | F1: 0.7245
Epoch 189/200 | Loss: 0.3338 | Acc: 0.7511 | Prec: 0.6085 | Recall: 0.8963 | F1: 0.7249
Epoch 190/200 | Loss: 0.3338 | Acc: 0.7501 | Prec: 0.6073 | Recall: 0.8967 | F1: 0.7241
Epoch 191/200 | Loss: 0.3338 | Acc: 0.7518 | Prec: 0.6095 | Recall: 0.8956 | F1: 0.7253
Epoch 192/200 | Loss: 0.3338 | Acc: 0.7523 | Prec: 0.6100 | Recall: 0.8951 | F1: 0.7256
Epoch 193/200 | Loss: 0.3338 | Acc: 0.7507 | Prec: 0.6081 | Recall: 0.8967 | F1: 0.7247
Epoch 194/200 | Loss: 0.3338 | Acc: 0.7524 | Prec: 0.6102 | Recall: 0.8948 | F1: 0.7256
Epoch 195/200 | Loss: 0.3338 | Acc: 0.7513 | Prec: 0.6088 | Recall: 0.8961 | F1: 0.7250
Epoch 196/200 | Loss: 0.3338 | Acc: 0.7483 | Prec: 0.6052 | Recall: 0.8975 | F1: 0.7229
Epoch 197/200 | Loss: 0.3338 | Acc: 0.7519 | Prec: 0.6096 | Recall: 0.8954 | F1: 0.7254
Epoch 198/200 | Loss: 0.3338 | Acc: 0.7517 | Prec: 0.6093 | Recall: 0.8957 | F1: 0.7253
Epoch 199/200 | Loss: 0.3338 | Acc: 0.7516 | Prec: 0.6093 | Recall: 0.8954 | F1: 0.7251
Epoch 200/200 | Loss: 0.3338 | Acc: 0.7502 | Prec: 0.6075 | Recall: 0.8968 | F1: 0.7243
Saved training_curves.png
Saved acc_model.onnx
Saved normalization.json
